City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,rikitea,-23.1203,-134.9692,79.02,72,5,14.47,PF,1675229087
1,kristiansund,63.1115,7.732,28.45,80,100,3.44,NO,1675229088
2,barrow,71.2906,-156.7887,-5.78,77,0,25.32,US,1675228940
3,sistranda,63.7256,8.834,26.56,69,100,11.45,NO,1675229089
4,puerto ayora,-0.7393,-90.3518,75.54,92,73,4.88,EC,1675229090
5,yichang,30.7144,111.2847,62.74,22,0,11.54,CN,1675229091
6,bethel,41.3712,-73.414,28.76,60,100,9.22,US,1675229091
7,pangkalanbuun,-2.6833,111.6167,86.65,65,100,4.14,ID,1675229092
8,palana,59.1167,159.9667,11.62,91,100,8.88,RU,1675229092
9,najran,17.4924,44.1277,63.25,33,55,5.88,SA,1675229093
10,olafsvik,64.8945,-23.7142,29.79,88,100,13.82,IS,1675229094
11,khatanga,71.9667,102.5,-45.36,100,62,2.15,RU,1675229095
12,carutapera,-1.195,-46.02,74.41,94,100,1.97,BR,1675229096
13,albany,42.6001,-73.9662,19.36,64,98,2.93,US,1675229088
14,wairoa,-39.0333,177.3667,70.56,79,88,4.0,NZ,1675229097
15,bilibino,68.0546,166.4372,3.24,90,97,5.84,RU,1675229097
16,lebu,-37.6167,-73.65,56.48,86,0,20.71,CL,1675229098
17,airai,-8.9266,125.4092,70.09,82,82,2.89,TL,1675229099
18,sovetsk,55.0839,21.8785,35.51,98,100,15.19,RU,1675229100
19,port hardy,50.6996,-127.4199,37.58,93,100,16.11,CA,1675229100
20,provideniya,64.3833,-173.3,24.91,100,100,4.47,RU,1675229101
21,avarua,-21.2078,-159.775,78.85,83,75,16.11,CK,1675229102
22,atuona,-9.8,-139.0333,79.02,77,64,23.85,PF,1675229103
23,lorengau,-2.0226,147.2712,82.71,75,57,7.81,PG,1675229104
24,cam ranh,11.9214,109.1591,76.96,78,75,5.75,VN,1675229105
25,talaya,61.3833,152.75,-12.28,98,96,0.65,RU,1675229106
26,yellowknife,62.456,-114.3525,-26.88,68,0,13.8,CA,1675229099
27,coquimbo,-29.9533,-71.3436,62.33,100,75,2.3,CL,1675228977
28,hobart,-42.8794,147.3294,67.26,47,75,16.11,AU,1675229108
29,mataura,-46.1927,168.8643,68.72,78,100,2.89,NZ,1675229108
30,saint-philippe,-21.3585,55.7679,80.19,85,93,11.07,RE,1675228916
31,mitsamiouli,-11.3847,43.2844,81.73,75,43,5.57,KM,1675229110
32,husavik,66.0449,-17.3389,28.49,95,100,10.83,IS,1675228930
33,hilo,19.7297,-155.09,76.28,89,40,6.91,US,1675228963
34,coffs harbour,-30.3,153.1333,82.13,69,23,8.05,AU,1675229111
35,plettenberg bay,-34.0527,23.3716,68.16,77,0,6.76,ZA,1675229112
36,port alfred,-33.5906,26.891,72.18,95,3,5.84,ZA,1675229113
37,saskylakh,71.9167,114.0833,-17.82,97,100,17.31,RU,1675228943
38,jacmel,18.2342,-72.5347,75.04,76,29,4.59,HT,1675229114
39,pevek,69.7008,170.3133,6.33,84,36,3.87,RU,1675229115
40,kadom,54.5592,42.4675,17.69,95,69,6.53,RU,1675229116
41,do gonbadan,30.3586,50.7981,50.09,93,100,4.61,IR,1675229117
42,arraial do cabo,-22.9661,-42.0278,75.43,90,91,23.69,BR,1675229117
43,vaitape,-16.5167,-151.75,82.0,73,99,14.18,PF,1675229118
44,atambua,-9.1061,124.8925,82.83,69,48,6.24,ID,1675229036
45,tutoia,-2.7619,-42.2744,76.66,90,100,8.39,BR,1675229119
46,buraydah,26.326,43.975,54.05,54,28,7.52,SA,1675229078
47,concarneau,47.875,-3.9225,47.19,84,1,5.39,FR,1675229121
48,thompson,55.7435,-97.8558,-29.04,75,20,2.3,CA,1675228962
49,nuevo progreso,23.1667,-97.95,53.47,75,95,3.0,MX,1675229123
50,tuktoyaktuk,69.4541,-133.0374,-38.2,67,0,2.3,CA,1675228919
51,vardo,70.3705,31.1107,30.18,100,100,28.77,NO,1675229124
52,zhangjiakou,40.81,114.8794,21.6,24,16,13.0,CN,1675229125
53,broome,42.2506,-75.833,18.66,82,0,4.61,US,1675229125
54,kodiak,57.79,-152.4072,36.91,87,100,8.05,US,1675229126
55,nikolskoye,59.7035,30.7861,31.91,85,99,7.27,RU,1675229126
56,talcahuano,-36.7167,-73.1167,54.21,84,0,9.26,CL,1675229127
57,naze,28.3667,129.4833,68.92,67,83,13.76,JP,1675229069
58,talnakh,69.4865,88.3972,4.21,95,100,10.38,RU,1675229128
59,hermanus,-34.4187,19.2345,65.8,90,4,3.44,ZA,1675229129
60,balikpapan,-1.2675,116.8289,83.39,70,20,3.44,ID,1675229129
61,new norfolk,-42.7826,147.0587,66.92,31,54,5.01,AU,1675229130
62,narsaq,60.9167,-46.05,17.82,94,100,4.32,GL,1675229131
63,bluff,-46.6,168.3333,61.99,90,100,10.18,NZ,1675229131
64,norwich,52.6278,1.2983,41.36,80,89,18.41,GB,1675229132
65,carnarvon,-24.8667,113.6333,81.45,67,44,14.25,AU,1675229133
66,port elizabeth,-33.918,25.5701,73.31,89,0,10.0,ZA,1675229133
67,san vicente de canete,-13.0751,-76.3835,71.89,86,90,3.15,PE,1675229134
68,shaoyang,27.2315,111.4525,69.53,28,0,8.05,CN,1675229134
69,karratha,-20.7377,116.8463,95.63,45,18,17.09,AU,1675229135
70,punta arenas,-53.15,-70.9167,53.71,66,20,27.63,CL,1675228930
71,turbat,26.0023,63.044,66.16,47,0,2.04,PK,1675229136
72,boromo,11.75,-2.9333,70.72,8,99,6.2,BF,1675229137
73,ushuaia,-54.8,-68.3,56.86,51,75,12.66,AR,1675229137
74,klaksvik,62.2266,-6.5889999999999995,36.52,86,96,28.19,FO,1675229091
75,kamina,-8.7386,24.9906,63.72,95,95,2.28,CD,1675229139
76,beringovskiy,63.05,179.3167,19.4,99,60,7.56,RU,1675229139
77,aksu,41.1231,80.2644,22.21,68,100,1.21,CN,1675229140
78,sabang,5.8933,95.3214,79.83,72,99,4.07,ID,1675229140
79,chuy,-33.6971,-53.4616,69.75,93,6,5.08,UY,1675228915
80,sokoni,-6.4333,39.55,79.3,80,22,6.98,TZ,1675229141
81,ranong,9.9658,98.6348,85.93,55,36,2.73,TH,1675229142
82,busselton,-33.65,115.3333,81.81,32,0,9.33,AU,1675229143
83,agadez,19.75,10.25,52.3,36,29,9.1,NE,1675229144
84,napa,38.4832,-122.3344,42.13,53,22,1.19,US,1675229134
85,kapaa,22.0752,-159.319,75.18,90,20,10.36,US,1675229145
86,vila franca do campo,37.7167,-25.4333,54.01,83,38,7.52,PT,1675229145
87,cumbitara,1.6517,-77.5823,58.8,96,100,0.78,CO,1675229146
88,cabo san lucas,22.8909,-109.9124,64.62,65,66,3.67,MX,1675228964
89,honiara,-9.4333,159.95,83.86,73,82,6.93,SB,1675229147
90,mitchell,43.7094,-98.0298,-0.26,80,0,4.61,US,1675229147
91,willowmore,-33.2926,23.4895,72.63,60,0,1.48,ZA,1675229148
92,mangrol,21.1167,70.1167,73.58,38,87,14.47,IN,1675229148
93,mataram,-8.5833,116.1167,88.61,77,96,3.33,ID,1675229149
94,kamenka,51.3223,42.7678,26.69,93,100,8.72,RU,1675228953
95,kavaratti,10.5669,72.642,79.84,74,83,11.65,IN,1675229096
96,san patricio,28.017,-97.5169,39.07,85,100,12.28,US,1675229151
97,orsha,54.5153,30.4053,28.65,91,99,8.01,BY,1675229151
98,castro,-24.7911,-50.0119,63.03,98,100,2.62,BR,1675228920
99,yinchuan,38.4681,106.2731,25.9,19,100,8.28,CN,1675229152
100,bredasdorp,-34.5322,20.0403,67.03,88,9,4.85,ZA,1675229153
101,sulphur springs,33.1385,-95.6011,28.35,93,100,0.0,US,1675229154
102,vila real,41.3006,-7.7441,36.59,71,17,4.59,PT,1675229155
103,orlik,52.5178,99.825,2.75,83,34,1.23,RU,1675229155
104,faanui,-16.4833,-151.75,81.99,73,100,14.25,PF,1675229156
105,torbay,47.6666,-52.7314,33.89,93,100,25.32,CA,1675228966
106,kruisfontein,-34.0033,24.7314,66.88,74,0,9.57,ZA,1675229097
107,pisco,-13.7,-76.2167,73.45,78,0,10.36,PE,1675229157
108,dali,25.7,100.1833,67.21,23,5,6.89,CN,1675229158
109,clyde river,70.4692,-68.5914,-32.57,68,0,6.91,CA,1675228953
110,svetlaya,46.5389,138.3297,16.72,50,100,3.15,RU,1675229159
111,tasiilaq,65.6145,-37.6368,12.36,72,96,7.99,GL,1675229159
112,brae,60.3964,-1.3530000000000002,41.54,95,98,39.08,GB,1675229160
113,anadyr,64.75,177.4833,27.1,93,40,15.66,RU,1675229161
114,aleysk,52.4926,82.7822,16.5,83,100,2.75,RU,1675229161
115,kahului,20.8947,-156.47,75.85,88,20,1.99,US,1675229162
116,porto novo,6.4965,2.6036,76.82,89,48,0.92,BJ,1675229163
117,qaanaaq,77.484,-69.3632,-8.43,51,78,7.31,GL,1675229164
118,cape town,-33.9258,18.4232,72.37,87,40,10.36,ZA,1675229165
